,open,high,low,close,volume
2014-12-04,190.7800,192.3400,189.9600,191.9500,3161905
2014-12-05,192.7200,196.9300,192.5400,195.4500,3625473
2014-12-08,195.4500,198.0600,194.5100,196.6200,2714961
2014-12-09,193.6900,197.2200,192.9000,196.8900,4568408
2014-12-10,195.4800,195.9900,191.6000,192.0000,6506305
2014-12-11,193.0000,194.9400,192.5000,193.5400,3179459
2014-12-12,191.7100,192.6350,188.0700,188.8200,3838914
2014-12-15,190.2400,190.8100,185.4100,185.5400,4729064
2014-12-16,183.9600,186.9300,182.4000,183.3100,4181366
2014-12-17,184.1100,186.5000,183.6300,185.0300,5074804
2014-12-18,188.0000,191.6600,187.8100,191.6100,4209608
2014-12-19,192.2600,195.0000,192.0300,193.2800,4798226
2014-12-22,193.9200,194.5000,192.7620,194.4400,3055824
2014-12-23,195.3400,196.1000,194.7300,195.5000,2346066
2014-12-24,196.6100,196.7500,195.0100,195.8900,697700
2014-12-26,196.0900,196.4900,195.4000,195.4500,1016252
2014-12-29,195.5700,196.9600,194.8200,196.1900,1229873
2014-12-30,195.5000,196.5000,194.5770,195.7100,1136152
2014-12-31,196.6500,196.8300,193.7700,193.8300,1566780
2015-01-02,195.3000,195.7300,192.7001,194.4100,1877498
2015-01-05,193.0600,194.0400,187.4800,188.3400,3417017
2015-01-06,188.3000,188.6590,183.9300,184.5300,3430666
2015-01-07,186.8500,187.9900,185.7700,187.2800,1896744
2015-01-08,189.3500,190.8200,189.2500,190.2700,1953237
2015-01-09,190.4800,191.3100,186.9600,187.3500,1942594
2015-01-12,187.3600,187.5300,184.1100,185.0700,2083868
2015-01-13,186.5800,189.3750,183.3700,184.9300,2747022
2015-01-14,181.1800,182.5100,178.1000,180.2300,5204532
2015-01-15,180.1800,181.6000,177.5000,178.4900,3145103
2015-01-16,176.7300,180.1000,174.0600,177.2300,5124104
2015-01-20,177.5700,178.3300,174.2300,175.6300,3607421
2015-01-21,174.5500,178.3900,172.8200,177.1500,3736831
2015-01-22,178.8100,182.5900,177.2500,182.0400,6228147
2015-01-23,181.4300,182.9800,180.4200,180.4900,3123379
2015-01-26,178.7200,180.9900,178.0600,180.4200,2736479
2015-01-27,177.2400,178.6400,176.3000,176.4900,3335640
2015-01-28,177.7300,177.9700,172.9700,173.0500,3016978
2015-01-29,173.1800,176.3000,173.0700,175.9900,2420945
2015-01-30,174.1300,175.6900,172.3200,172.4100,3036872
2015-02-02,172.9900,175.6000,172.2600,175.4900,2974905
2015-02-03,176.0100,180.4800,175.9100,180.2400,3766909
2015-02-04,178.7200,180.7100,178.5300,178.7800,2980241
2015-02-05,179.4400,181.6000,179.2300,180.7700,2434290
2015-02-06,182.0500,184.6200,181.1400,183.4300,3250893
2015-02-09,181.6900,182.9500,181.1500,182.2200,2421753
2015-02-10,183.3500,184.8000,182.3500,184.5600,2556334
2015-02-11,184.0700,188.1900,183.7500,187.6500,4079632
2015-02-12,188.2500,190.0000,187.4000,189.7800,3086685
2015-02-13,189.8700,191.3300,188.3400,189.0000,2720401
2015-02-17,188.7800,190.6300,188.3100,190.0200,2123317
2015-02-18,189.5400,190.0350,187.8200,188.6700,1850421
2015-02-19,187.6800,189.8500,187.2700,189.1100,1470372
2015-02-20,188.3500,191.6400,187.0500,191.5100,2317113
2015-02-23,190.7400,190.7400,189.2700,190.3100,1689132
2015-02-24,190.0300,193.2800,189.6800,192.2200,2627289
2015-02-25,191.5500,192.4500,190.4600,191.7200,2775703
2015-02-26,190.5100,192.4700,190.0000,192.2000,2449262
2015-02-27,191.1900,192.5000,189.7900,189.7900,2572381
2015-03-02,190.0000,191.9200,189.7800,191.7900,1659394
2015-03-03,190.7000,192.8700,190.5700,191.2700,1487567
2015-03-04,190.3500,190.8200,188.9800,189.6700,1631613
2015-03-05,190.1300,190.7200,189.0700,190.0800,1330072
2015-03-06,187.5800,191.4000,186.5800,186.9100,4103633
2015-03-09,187.3000,188.7900,186.5700,187.9300,2233659
2015-03-10,185.5900,186.1400,182.7100,182.7100,2768460
2015-03-11,183.3000,185.8400,183.0100,184.1800,2076270
2015-03-12,185.9400,190.0000,185.9400,189.9500,3114792
2015-03-13,188.8700,189.7400,186.1600,189.3400,3094199
2015-03-16,190.0400,192.4900,189.9000,191.9000,2127659
2015-03-17,190.9700,191.2400,188.8000,190.5700,1880463
2015-03-18,189.6700,193.0400,189.2000,192.3200,2790127
2015-03-19,191.7600,191.7600,189.0900,189.9700,2097000
2015-03-20,190.4700,193.9180,189.9000,193.1300,3473782
2015-03-23,193.2700,194.2500,191.9600,191.9600,1590324
2015-03-24,191.9400,192.5100,191.1600,191.2800,1790318
2015-03-25,191.0800,191.2300,187.3500,187.3500,2541359
2015-03-26,186.5200,187.9700,185.0200,187.2400,2377041
2015-03-27,187.1900,188.4800,186.2700,188.0600,1534039
2015-03-30,189.2400,192.0000,189.1900,191.0200,2403773
2015-03-31,190.3400,190.5500,187.9700,187.9700,2145466
2015-04-01,187.9400,192.3300,186.9600,192.2300,4031448
2015-04-02,191.7300,192.7300,190.8500,191.5500,2296301
2015-04-06,190.1800,192.6400,188.9500,192.0500,1997035
2015-04-07,192.5200,193.6400,192.2400,192.3900,1777983
2015-04-08,193.0400,193.8500,192.2000,192.5600,1997262
2015-04-09,192.8600,195.0900,192.4100,194.8900,1975662
